GUN,MagazineRelease,TriggerLength,TriggerPull,MSRP,PalmWidth,LeftHanded,Laser,safety,caliber,GunWeightUnloaded,Semi,Recoil,HomeDefense ,SlideWeight,AccessoryRail,Image Links,gunID,Manufacturer,Price,FrameMaterial,ActionType,FinishOptions,Link
Question,"What is the length of your thumb,",What is your trigger finger Length,How would you rank your trigger finger strength,What will your budget allow for y,What is your palm length from the base,Are you Right handed or Left handed?,Do you require a gun with a laser?,Do you require a gun with an external thumb safety?,"At this time, do you require a specific caliber",How would you rate your upper body strength,"Do you have a reason you are not willing , or are not physically able to carry a gun on your body",How would you rate your hand strength,What will this gun be used for?,Slide Weight,Do you require a gun with an accessory rail,,,,,,,,
Beretta Nano,3,3,2,2,3,no,yes,no,9,2,yes,2,yes,3,yes,http://www.beretta.com/assets/0/15/DimGalleryLarge/nanorebluefarme_zoom001.png,1,Beretta,450,Polymer,Striker Fire,"Black, Pink, FDE",https://thewellarmedwoman.com/tag/BERETTA-NANO/
Beretta Pico,1,1,3,1,1,yes,no,no,380,4,yes,1,no,4,no,https://thewellarmedwoman.com/wp-content/uploads/2016/08/pico_0057.jpg,2,Beretta,400,Stainess Steel,Double Action Only,Black/Stainless,
Bersa Thunder 380 ,2,2,2,1,2,no,no,yes,380,3,yes,3,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2016/09/bersa-thunder-e1492052245233.jpg,3,Bersa,320,Polymer,Single Action/Double Action,"DuoTone, Matte Black, Satin Nickel",https://thewellarmedwoman.com/tag/bersa-thunder/
Charter Arms Pink Lady ,2,2,4,2,2,no,yes,no,0.38,4,no,1,no,null,null,https://cdn.shopify.com/s/files/1/0874/7670/products/53830_2_large.jpg?v=1561567010,4,Charter Arms,437,Alloy,Single Action/Double Action,Pink,https://thewellarmedwoman.com/tag/pink-lady/
Charter Arms Undercover Lite,2,2,4,2,2,yes,no,no,0.38,4,no,1,no,null,null,https://thewellarmedwoman.com/wp-content/uploads/2016/09/Pink-Lady-e1492052015593.jpg,5,Charter Arms,358,#N/A,#N/A,#N/A,
Colt Defender,4,4,2,3,4,no,no,yes,9,3,yes,3,yes,1,no,https://thewellarmedwoman.com/wp-content/uploads/2016/08/colt-defender.jpg,6,Colt,973,Aluminum,Single Action Only,Stainless,
Colt Mustang ,2,2,2,3,2,no,no,yes,380,3,yes,1,no,1,no,https://large.shootingsportsmedia.com/993113.jpg,7,Colt,599,Aluminum,Single action only,Stainless,
Glock 19 ,4,4,2,3,4,yes,no,no,9,2,yes,3,yes,3,yes,https://thewellarmedwoman.com/wp-content/uploads/2019/02/Glock-19_Gen4.png,8,Glock,499,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/glock-19/
Glock 26 ,4,4,2,2,4,yes,no,no,9,3,yes,3,yes,3,yes,https://thewellarmedwoman.com/wp-content/uploads/2016/09/glock-g26-e1530802771283.jpg,9,Glock,499,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/glock-26/
Glock 43X,3,3,2,2,3,no,no,no,9,2,yes,2,yes,3,no,https://www.glockstore.com/assets/images/products/Glock-43X-9mm_main-01.jpg?resizeid=9&resizeh=1000&resizew=1000,10,Glock,449,#N/A,#N/A,#N/A,
Glock 42,2,2,2,2,2,yes,no,no,380,2,yes,1,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2016/08/glock-42-.jpg,11,Glock,449,Polymer,Striker Fire,"black polymer frame, black steel slide",https://thewellarmedwoman.com/tag/glock-42/
Glock 43,3,3,2,2,3,no,no,no,9,2,yes,2,yes,3,no,https://thewellarmedwoman.com/wp-content/uploads/2016/07/glock43-.jpg,12,Glock,529,Polymer,Striker Fire,Black,https://thewellarmedwoman.com/tag/glock-43/
H&K VP9,3,3,2,3,3,yes,yes,no,9,1,yes,3,yes,2,yes,https://thewellarmedwoman.com/wp-content/uploads/2016/09/vp9-e1492053249318.jpg,13,H&K,629,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/H&K-vp9/
Kahr CM9 ,2,2,3,1,2,no,no,no,9,2,yes,2,no,4,no,https://cdn11.bigcommerce.com/s-kp97pt369w/images/stencil/1280x1280/products/2244/5125/SVimg-CM9093__49796.1515511800.jpg?c=2&imbypass=on,14,Kahr Arms,460,Polymer,Striker Fire,Black / Stainless,
Kahr CW 380,2,2,2,2,2,no,no,no,380,3,yes,1,no,4,no,https://www.budsgunshop.com/catalog/images/83990_3.jpg,15,Kahr Arms,419,Polymer,Striker Fire,Black / Stainless,
